File,Title,Log,Lat,Description,Image,Group
04 Camp No 1 June 20-53 near Westport,"Camp 1, June 20, 1853, near Westport",-94.61943741,39.0764973,June 20 -July 7 1853,"<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
05 Composite Drawings,"Two treatments of ""Camp No. 1""",-94.61943741,39.0764973,,"<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
06 From 82.0 on Mission and Kansas River,Mission & Kansas Rivers [June 29],-95.83484556,39.06425929,"June 29, 1853","<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
09 Kansas R.,Kansas R.,-95.95184788,39.09767655,"June 29, 1853","<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
10 Uniontown Kaw River,"Uniontown, Kaw River",-95.94684539,39.09593525,"June 29, 1853","<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
102 Sierra Blanca,Sierra Blanca [August 23],-105.541186,37.526893,"August 23, 1853","<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
105 pan San Juan Mountains…,"San Juan Mountains, source of the Rio del Norte [August 23]",-105.541918,37.526456,"August 19-23, 1853","<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
108 Peaks of the Sierra Blanca,Peaks of the Sierra Blanca,-105.675107,37.564731,"August 19-23, 1853","<img src=""https://collections.lib.utah.edu/dl_files/83/ed/83edf8d040812fac256e2d662fb39803a723348a.jpg"" height=""400px"">",Sketch
11 Fort Centre or Riley--Junction of Smokey Hill and Republican Fork,Fort Riley at the junction of the Smokey Hill and Republican rivers,-96.80202841,39.06058635,"July 3, 1853",,Sketch
112 Sierra Blanca,Sierra Blanca [August 27],-105.633355,37.813583,"August 27, 1853",,Sketch
122 Panorama Rocky Mts…,"Panorama, Rocky Mountains Plate 1 and Plate 2 [August 28?]",-105.820611,38.058523,"August 28, 1853",,Sketch
126 Entrance to Del Norte,Entrance to Cochetopa Pass [August 30?],-106.060939,38.093368,"August 30, 1853",,Sketch
129 Entrance to Del Norte,Entrance to del Norte [August 30?],-106.05125,38.089784,"August 30, 1853",,Sketch
132 August 30th Sahwatch Mts,"August 30, Saguache Mountains?",-106.141548,38.01730743,"August 30, 1853",,Sketch
136 Sah-watch Cr in Coo-che-to-pa Pass Aug 31st 1853,"Saguache Creek, in Cochetopa Pass (August 31, 1853)",-106.2720611,38.15193598,"August 31, 1853",,Sketch
137 Sheet with Three Drawings,"Sheet with three drawings, the topmost titled: “Coo-che-to-pa Pass – (San Juan Mts) – East end–” [August 31?]",-106.2782036,38.15435745,"August 31, 1853",,Sketch
14 Crossing Saline Creek--July 7th 1853,"Crossing Saline Creek, July 7th, 1853",-97.58811742,38.88650288,"July 7, 1853",,Sketch
141 near summit of Coo-che-to-pa Pass Aug 31st,"Near summit of Cochetopa Pass, August 31. ",-106.314854,38.163847,"August 31, 1853",,Sketch
145 Coo-che-to-pa Pass--Leaving Sawatch Creek,Cochetopa Pass – Leaving Saguache Creek [September 1] ,-106.4656118,38.162495,"September 1, 1853",,Sketch
15 Crossing Saline July 7th 1853,"Crossing Saline, July 7th, 1853",-97.58811742,38.88650288,,,Sketch
155 In Sangre de Cristo Pass ,"In Sangre de Cristo Pass [in Cochetopa Pass, September 2]",-106.581219,38.218993,"September 2, 1853",,Sketch
16 Elk Island Arkansas July 20th,"Elk Island, Arkansas River, July 20th",-100.7734716,37.91724525,July 20-August 1 1853,,Sketch
161 Sep 1st West of Coo-che-to-pa Pass,"September 1, west of Cochetopa Pass [September 2, East of...]",-106.581817,38.180722,"September 1, 1853",,Sketch
164 Sept 3rd West end of Coo-che-to-pa Pass on Pass Cr,September 3: West end of Cochetopa Pass on Pass Creek,-106.6473912,38.23652387,"September 3, 1853",,Sketch
167 Pass Creek,Pass Creek [September 3],-106.746783,38.288489,"September 3, 1853",,Sketch
17 Arkansas Plains,Arkansas Plains,-101.3674593,37.87724651,"July 22, 1853",,Sketch
170 West of Summit Coochetopa Pass,West of summit in Cochetopa Pass [?],-106.764712,38.310061,"September 3, 1853",,Sketch
174 Divide between the waters..,September 3: Divide between the waters of the Gulf of Mexico and the Pacific Ocean,-106.673556,38.377271,"September 3, 1853",,Sketch
177 4 45 Sept 3 Co-che-to-pa Cr,"September 3, Cochetopa Creek",-106.694488,38.367121,"September 3, 1853",,Sketch
18 Bents Fort,Bent's Fort [July 29],-103.4332941,38.04452676,"July 29, 1853",,Sketch
185 Camp roc Eagle Tail… top of sheet of two,"Camp Rock (Eagle Tail), near camp September 3",-106.674348,38.377763,"September 3, 1853",,Sketch
189 Sah-watch,Saguache Mountains [September 5] ,-106.6438751,38.41827876,"September 5, 1853",,Sketch
193 10 Sept 5 Sah-watch Mts,"10 a.m. September 5, Saguache Mountains",-106.642091,38.416574,"September 5, 1853",,Sketch
198 West end of Coo-che-to-pa Pass,West end of Cochetopa Pass [September 5] ,-106.643464,38.418546,"September 5, 1853",,Sketch
202 Coo-che-to-pa Cr near its junction with Grand R,Cochetopa Creek (near its junction with Grand River) [September 5],-106.626717,38.441877,"September 5, 1853",,Sketch
206 Western slopes of Sah-watch Mts,Western slopes of Saguache Mountains,-106.962,38.516609,"September 6, 1853",,Sketch
207 West end of Coo-che to-pa Pass,West end of Cochetopa Pass [September 5],-106.897439,38.544594,"September 5, 1853",,Sketch
21 Plains,Plains [August 1?],-103.974054,38.13313507,Mark 1 July 30-31,,Sketch
211 View up Grand R first mesa,View up Grand River (first view) [September 6],-106.962,38.516609,"September 6, 1853",,Sketch
214 on Grand River,On Grand River [September 6],-106.97052,38.51921,"September 6, 1853",,Sketch
221 On Grand R from Camp Sept 7th,"On the Grand River from Camp, Sept 7.",-107.032067,38.494331,"September 7, 1853",,Sketch
224 Sept 8 Valley of Grand river,"September 8, Valley of Grand River [September 7]",-107.040817,38.489182,"September 7, 1853",,Sketch
227 On Twin Creek--Grand River Country,"On Twin Creek, Grand River Country [September 7] ",-107.06149,38.489144,"September 7, 1853",,Sketch
230 Grand River Sept 7th 1853,"Grand River,  September 7, 1853",-107.06149,38.489144,"September 7, 1853",,Sketch
236 Side Valley of Grand River,Side valley of Grand River [September 8],-107.114144,38.481829,"September 8, 1853",,Sketch
239 form 10 20 Sept 8th Affluent of Grand R,“from 10.20 Sept 8 Affluent of Grand R.”,-107.20366,38.465115,"September 8, 1853",,Sketch
240 Grand River Canon Sept 8th 1853,"Grand River Canyon, September 8, 1853",-107.210431,38.463638,"September 8, 1853",,Sketch
25 Bluff on Arkansas--Aug 1st,Bluff on Arkansas - August 1,-104.0003698,38.14192399,"August 1, 1853",,Sketch
253 Lake Fork Sept 10th,"Lake Fork, September 10 [September 9]",-107.300391,38.459001,"September 10, 1853",,Sketch
256 VIEW SHOWING THE FORMATION OF THE CANON OF GRAND RIVER,"Lithograph, “View Showing the Formation of the Cañon of Grand River near the Mouth of Lake fork with indications of the formidable Side Cañons.”",-107.33754,38.45317,"September 10, 1853",,Lithograph
258 frrom 2 35 Sept 10th Salt Creek Canon towards Grand R,from 2:35 p.m. September 10 (Salt Creek Canyon towards Grand River),-107.31062,38.448724,"September 10, 1853",,Sketch
263 Grand R Canons,Grand River canyons,-107.401016,38.423767,"September 11, 1853",,Sketch
274 Un-com-pah-gre Mts,"Sunday, September 11, Uncompahgre Mountains",-107.37994,38.441235,"September 11, 1853",,Sketch
277 Valley of the Cebolla Cr,Valley of the Cebolla Creek [September 12] ,-107.40776,38.404677,"September 11, 1853",,Sketch
